TipoMov 	Angles[0] 	Angles[1] 	Angles[2] 	Angles[3] 	Angles[4] 	gEUD[0] 	gEUD[1] 	gEUD[2] 	gEUD[3] 	globalScore 	weights[0] 	weights[1] 	weights[2] 	
3146 Seconds 	DDMs loading begins
0	60	140	155	280	355	76.0	57.3429	41.8916	85.0	0.6337215527385427	0.0	0.0	0.0	x60:	22.5445	11.7843	22.4935	14.9738	6.92405	4.95159	22.485	20.5714	12.3507	20.0851	16.7241	14.2462	20.4992	6.46938	24.1881	22.834	20.7709	22.308	22.8542	17.6959	15.4054	7.78022	1.84037E-8	17.5389	23.6549	13.2988	17.0678	20.8202	15.5494	15.9403	8.61301	1.64475E-8	5.79423	17.127	13.5883	12.0594	16.3127	15.1213	6.54113	11.3497	1.72319E-8	5.5249E-8	19.7159	16.9398	13.7656	16.0217	17.2322	6.75253	1.76494E-8	4.50082E-8	4.87415E-7	13.3719	7.20105	14.8597	16.6675	9.86668E-9	3.63861E-8	7.12885	2.27353E-8	3.00189E-8	3.83924	14.7173	6.39418	0.019506	10.5521	6.45712	4.13941	x140:	1.06025E-6	0.0027183	2.70619E-7	4.50281	9.65827E-9	30.0	2.15613E-7	0.928151	2.64083E-7	5.08211E-7	25.6764	30.0	1.55433E-7	30.0	14.1981	1.73443E-7	8.05032	8.98601	30.0	30.0	7.46826	2.7876E-8	30.0	19.2586	1.883E-6	2.10224E-7	4.07839	20.9592	14.7963	18.4228	2.43623E-8	9.88941	9.89304	3.42692	3.69873E-7	3.08804	18.1244	6.57658	11.053	4.19305E-8	10.3489	1.82143	3.1557E-7	4.29493	5.09423	17.8753	1.76056	7.32804E-8	1.30533E-7	6.64074E-7	10.697	6.21848	18.0965	8.59111	20.9842	9.65711	4.07046E-8	8.53794	1.44213E-7	1.55389E-7	10.5298	7.34282	14.6227	2.4328E-7	9.28107	3.33785	10.7161	x155:	6.56439	6.77012	1.7139E-7	1.78585	9.69577E-9	1.08321E-8	30.0	6.38999E-7	11.9638	21.4629	17.0475	2.45235E-7	12.9366	8.17214E-8	3.84475E-8	14.8403	9.00453	25.562	23.1104	20.1378	0.181397	15.5154	5.77076	2.61337E-8	13.7591	1.29278E-7	9.02264	18.6442	16.6784	4.07346E-8	11.227	2.39277	3.38072E-8	14.6997	7.1062	4.13303	16.0432	14.3551	0.177837	10.2162	8.40112E-8	3.85537E-8	12.7145	13.7022	2.93	11.5472	8.81032	6.80815E-8	10.7348	3.76186	4.73084E-8	23.9298	0.335679	7.13766E-7	1.51271	1.29559	0.17455	7.34327	1.79333E-8	1.17572E-7	1.25704E-7	12.0695	5.54293E-8	6.97988E-8	0.304047	12.9055	14.0632	18.086	21.1	x280:	7.56831	8.32723E-7	1.87798E-8	9.54004E-8	17.6258	13.8196	6.27458E-7	1.45398E-6	2.65934E-7	8.87293	1.43741	3.31221E-8	10.9919	30.0	13.2801	26.8701	28.9053	26.9366	18.1543	19.0769	30.0	2.95565	30.0	24.1706	14.337	22.3356	18.1153	12.8763	19.5161	28.1999	26.158	2.12467E-8	20.406	29.5057	26.5624	30.0	30.0	30.0	30.0	20.9241	1.84279E-8	9.87878	24.6893	30.0	22.3581	22.3748	27.3145	23.0635	19.1364	2.18142	28.2247	28.3338	20.4816	24.2707	28.6148	26.1676	8.38147	30.0	29.9986	22.1457	30.0	17.9633	4.53952E-8	x355:	1.97863E-7	3.90151E-8	5.5547E-8	2.633E-7	1.08909E-7	20.7467	4.87929E-7	5.6795E-9	6.58676E-9	3.16063E-8	7.93266E-7	15.665	17.1241	8.73023	9.859	0.689823	1.72734	7.75913E-9	1.80693E-8	2.09094	8.71779E-7	9.23946	1.37954	4.80579	2.30574E-8	3.92755	2.53209	1.60066E-8	1.32326E-7	1.00314	8.32946	0.986055	2.04246	0.827733	4.60534	1.90456	1.71239E-8	1.41766E-7	1.34328	3.21013	1.04186	1.32543	2.22537E-7	2.0296	1.48518	2.07113E-8	1.55677E-7	4.95219	3.30613E-8	7.92746E-8	1.59859E-8	7.39528E-9	7.41449E-9	3.93872	2.39737E-8	10.0219	13.9612	9.07571	8.31539	4.79503	3.29965	2.12103E-8	2.65137E-8	1.45719	17.2427	23.2513	1.98528E-8	4.6145E-9	6.5863E-9	3.54186E-8	6.70398E-9	
178 Seconds 	rMIP for beam angle 1 ended, getting better solution
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	generateNeighbourhood_rMIP_fixed: Preparation ended, generating DDMs...
0 Seconds 	generateNeighbourhood_rMIP_fixed: DDMs Generated, starting fixed rMIP...
0 Seconds 	solverMIPLogFunction: Starting AMPL
0 Seconds 	solverMIPLogFunction: AMPL Files created
0 Seconds 	prepareampl: AMPL Files loading, Changing fixed angles
0 Seconds 	prepareampl: AMPL Files OK, rMIP fixed solving;
102 Seconds 	prepareampl: rMIP fixed solved
102 Seconds 	generateNeighbourhood_rMIP_fixed: fixed rMIP ended...
102 Seconds 	generateNeighbourhood_rMIP_fixed: starting FMO of fixed beam angle with best of beam vector...
33 Seconds 	generateNeighbourhood_rMIP_fixed: Solved FMO of fixed beam angle with best of beam vector...
0	60	120	155	280	355	76.0	57.2236	41.5742	85.0	0.6231768444435907	0.0	0.0	0.0	x60:	14.5995	15.172	11.4051	5.10119	5.78409	2.56339	20.4955	22.3917	12.7127	12.2674	7.45958	14.4836	20.0298	7.25023	25.2372	25.6276	18.5436	16.1994	13.7946	17.5464	14.4665	9.13671	3.028E-8	18.4869	24.5898	9.59845	11.2246	11.9951	12.4657	14.0656	10.4837	2.76455E-8	6.46294	17.0909	8.22702	6.52849	8.68912	10.7492	4.33008	11.8873	2.94135E-8	1.02887E-7	20.606	9.5192	9.68055	9.73673	13.6334	4.71574	2.5616E-8	7.32704E-8	3.17362	4.5154	5.74227	11.6546	14.9748	1.55935E-8	4.61142E-8	1.30729	4.33281E-8	4.80316E-8	3.96102	4.67594	8.15261	2.59774E-7	0.219419	5.18551	0.00304062	x120:	5.70179E-10	5.46046	9.71435	30.0	3.79239	1.5351E-8	30.0	2.0246E-6	14.0339	17.8577	30.0	30.0	30.0	0.286722	30.0	24.6634	17.9142	16.3474	28.3233	21.8179	17.5723	16.8549	30.0	30.0	15.3918	12.1834	28.8685	30.0	19.7901	11.8984	4.37117E-8	12.3679	10.3406	24.2333	3.70685E-5	17.234	14.767	3.61187E-7	29.9959	5.3278E-8	8.20049	3.04398E-7	18.3984	0.0193553	14.6539	16.7816	0.735169	1.32038E-7	3.53863	6.02679	21.9927	7.39401	11.9607	23.8047	4.83714	15.1941	29.9935	1.46846	4.24203	21.9754	27.3011	9.1054	16.0551	15.7066	x155:	6.64293	4.05364	3.19865E-7	6.58811E-8	1.35508E-8	1.8243E-8	30.0	5.67277E-7	3.60818	15.0256	7.70511	5.63488	23.517	8.42906E-8	6.86187E-8	19.8756	2.69329	17.8067	20.5151	12.6286	4.04405	27.0849	8.77239	4.57203E-8	20.4898	2.78081	1.27785	18.1249	11.4649	2.0155	19.2989	7.60677	6.32121E-8	15.3951	10.5026	1.02954E-6	18.8749	12.0135	2.70074	15.4363	2.4536E-7	6.24454E-8	17.9207	14.3721	9.08201E-6	19.1576	11.2444	3.52996	13.1285	1.74925	5.65727E-8	23.656	6.06154	1.98193	17.9641	9.18514	4.27454	14.7912	2.71342E-8	1.78834E-7	3.20643	6.87381	2.92676	2.11066E-7	10.9866	18.4299	18.2577	21.2053	22.1899	x280:	7.5978E-7	5.07042E-6	7.07539E-8	2.13226E-7	1.88832	1.79395E-6	4.24033E-7	3.6451E-7	9.31847E-8	5.5437	8.13809E-7	3.93724E-8	8.74567E-7	18.8716	12.6873	28.0482	30.0	30.0	17.0304	24.5507	30.0	1.79926	30.0	22.2315	12.0469	20.5488	21.6433	11.9236	24.9223	29.0876	13.9342	3.62593E-8	13.1365	17.4493	27.4218	30.0	26.9579	30.0	28.4683	9.7552	3.09061E-8	2.27529	13.0075	30.0	20.7389	20.0455	21.8277	14.8509	15.0926	3.49173E-4	27.4808	26.8006	22.4674	23.141	25.8286	20.2284	5.6677	30.0	30.0	30.0	30.0	18.5796	4.47645E-8	x355:	3.66005E-7	7.10735E-8	1.00674E-7	4.52844E-7	6.65027E-7	22.9621	0.218731	1.03793E-8	1.18384E-8	6.09865E-8	6.91405E-6	14.7672	10.8643	7.02931	7.90758	3.88333E-8	1.3804	1.50946E-8	3.40389E-8	1.48432E-6	5.7517E-7	4.69907	0.0899922	4.54696	8.3143E-8	4.22407	3.54818	2.55562E-8	3.88284E-7	0.39229	4.97893	0.481627	3.28247	1.81471	4.32199	2.25588	2.64806E-8	1.74877E-7	1.5104	2.63121	0.861963	2.4593	1.10369	1.896	0.0174845	3.49666E-8	4.06826E-7	8.65322	7.21928E-8	9.67212E-8	3.22956E-8	4.78777E-8	1.457E-8	2.56466	4.60994E-8	5.26374	15.1517	9.55289	6.50787	4.17931	1.897	3.2215E-8	4.73642E-8	8.08582E-7	12.8097	10.0743	1.70707E-8	7.13553E-9	1.10188E-8	6.16389E-8	1.15228E-8	
136 Seconds 	rMIP for beam angle 2 ended, getting better solution
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	generateNeighbourhood_rMIP_fixed: Preparation ended, generating DDMs...
0 Seconds 	generateNeighbourhood_rMIP_fixed: DDMs Generated, starting fixed rMIP...
0 Seconds 	solverMIPLogFunction: Starting AMPL
0 Seconds 	solverMIPLogFunction: AMPL Files created
0 Seconds 	prepareampl: AMPL Files loading, Changing fixed angles
0 Seconds 	prepareampl: AMPL Files OK, rMIP fixed solving;
109 Seconds 	prepareampl: rMIP fixed solved
109 Seconds 	generateNeighbourhood_rMIP_fixed: fixed rMIP ended...
109 Seconds 	generateNeighbourhood_rMIP_fixed: starting FMO of fixed beam angle with best of beam vector...
32 Seconds 	generateNeighbourhood_rMIP_fixed: Solved FMO of fixed beam angle with best of beam vector...
0	60	120	155	220	280	76.0	57.03	40.9536	85.0	0.6052189941868753	0.0	0.0	0.0	x60:	4.45603	21.997	18.7625	1.61573	3.87329E-7	7.53352E-8	2.8948	12.2518	13.6257	11.2074	6.42307E-7	6.63943	6.77471	6.36539E-7	9.15407	21.2575	20.662	12.0212	4.37048	9.30573	3.84185	1.55025	1.06356E-7	8.3415	30.0	18.3934	9.07686	1.92628	6.22839	6.5514	7.28003	1.00194E-7	1.1383E-6	19.6979	17.9388	8.16395E-7	6.59267E-7	3.02673	0.579068	10.1522	1.12926E-7	5.3009E-7	18.3285	18.1349	0.304024	2.07124	6.56662	1.12247E-7	1.13392E-7	3.16208E-7	4.05681E-7	7.93219E-7	2.81965E-6	11.043	11.5536	1.01738E-7	2.67916E-7	4.74686	3.53045E-7	4.81512E-7	20.1839	1.43022	12.1118	1.91579	0.161592	5.34415	3.34213E-6	x120:	27.3188	2.83343	1.56064E-5	15.5009	10.6938	6.54738E-8	30.0	1.50173	2.51316	11.0706	22.1836	30.0	30.0	1.05596E-5	30.0	17.9325	9.64387	18.6601	24.5676	21.1457	20.5821	16.5904	30.0	25.5183	8.5968	23.9666	30.0	30.0	28.1372	13.0842	1.63318E-7	14.8887	9.15584	16.3719	13.8902	26.0015	15.064	5.72446	30.0	2.05299E-7	6.02608	3.98693E-7	8.11179	11.6949	27.9215	15.2012	2.68148E-7	3.95838E-7	3.36644	2.6691	15.0766	12.2432	24.6944	20.2345	4.65349	5.34302	27.5316	0.497941	6.07119	11.8548	28.1538	13.6185	9.10602	13.9091	x155:	6.05348	21.3574	26.8128	3.09014E-7	4.98036E-8	6.48172E-8	30.0	7.48179E-6	15.623	17.0789	18.3458	9.5743	25.1203	2.83461E-7	2.2664E-7	29.135	9.37802	14.4199	7.37206	11.3288	3.92018	24.4972	10.5532	1.56981E-7	25.2354	2.61388E-7	5.73848E-7	1.90115E-6	4.53206	3.01202E-6	14.4187	8.25534	2.18688E-7	17.4204	4.12451	2.93485	2.09488	3.41226	1.3078	13.2025	0.208681	2.18569E-7	15.3562	7.42851	2.3689	3.88947	1.84654	0.518335	12.0651	2.17694E-6	2.23771E-7	11.9757	8.14811	4.66453	9.69696	1.60301	1.93026	6.81516	1.11455E-7	1.02004E-6	2.6191	2.30677E-6	1.57629E-7	4.67565E-7	8.6081	9.20406	4.05153	14.244	23.4898	x220:	14.3323	19.145	7.49733	1.15307E-6	11.8153	10.5412	15.6635	1.93412E-6	2.86894E-7	1.30572E-7	8.74591E-7	7.58989E-6	17.1413	17.4405	16.4117	2.79076	6.15522	9.92432E-8	1.4345E-7	1.15402E-6	1.19609E-6	11.0118	6.93813E-7	19.422	11.507	8.66298	9.18011	0.844304	5.5983E-7	11.5711	8.5532	1.09366	20.9324	18.4263	13.203	11.349	4.36151	3.04607E-7	19.7113	6.16959E-7	2.97334E-6	10.8683	18.7891	11.727	13.4122	14.776	1.93958E-7	30.0	22.1214	13.5121	19.8148	26.4716	10.6818	25.7264	18.1463	1.67829E-7	30.0	24.8779	17.5205	14.2815	30.0	23.1442	30.0	13.0656	2.14759E-7	1.32228E-6	1.61155E-6	30.0	2.51198	7.73738E-8	x280:	1.01648	0.141394	2.90747E-7	4.1359E-6	3.52126	9.76936E-6	6.01341E-7	7.59548E-7	1.96675E-7	1.26418E-6	1.67876	2.99776E-7	1.84626E-6	22.5237	4.60653	27.8124	30.0	30.0	12.2827	24.1883	30.0	9.72652E-7	30.0	9.95188	10.794	17.3947	20.4743	11.1914	23.9287	23.1295	9.91507	1.35089E-7	3.86852	16.5636	25.3069	29.9946	30.0	30.0	22.7063	5.59261	1.1922E-7	4.52238E-5	15.3046	30.0	24.4604	23.9135	23.7455	14.2105	14.0186	7.87126E-6	30.0	29.7954	27.6745	25.9888	26.6309	23.7089	4.09871	30.0	27.3397	30.0	30.0	15.868	9.65476E-8	
141 Seconds 	rMIP for beam angle 3 ended, getting better solution
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	generateNeighbourhood_rMIP_fixed: Preparation ended, generating DDMs...
0 Seconds 	generateNeighbourhood_rMIP_fixed: DDMs Generated, starting fixed rMIP...
0 Seconds 	solverMIPLogFunction: Starting AMPL
0 Seconds 	solverMIPLogFunction: AMPL Files created
0 Seconds 	prepareampl: AMPL Files loading, Changing fixed angles
0 Seconds 	prepareampl: AMPL Files OK, rMIP fixed solving;
113 Seconds 	prepareampl: rMIP fixed solved
113 Seconds 	generateNeighbourhood_rMIP_fixed: fixed rMIP ended...
113 Seconds 	generateNeighbourhood_rMIP_fixed: starting FMO of fixed beam angle with best of beam vector...
31 Seconds 	generateNeighbourhood_rMIP_fixed: Solved FMO of fixed beam angle with best of beam vector...
0	120	155	220	250	280	76.0	56.8421	40.8126	85.0	0.5932007637722687	0.0	0.0	0.0	x120:	30.0	30.0	22.1389	11.5389	9.20242	2.51162E-7	30.0	24.4555	17.8892	15.9671	20.0163	30.0	30.0	0.00730853	15.3171	27.0999	19.7513	15.7505	24.3584	19.5289	23.7176	16.6044	19.7197	30.0	11.6661	14.593	30.0	23.8933	30.0	15.4247	6.61911E-7	10.8976	7.36745	14.0951	0.595696	21.0355	1.07356	9.047	30.0	8.63868E-7	2.3645	3.96511E-6	5.74927	5.03648E-6	22.0567	2.80551	5.66702E-7	1.01528E-6	0.724867	6.24252E-6	8.94384	2.53253	24.8475	15.788	2.65532	1.74502E-5	24.8278	5.25375E-6	1.46702	15.3848	24.5389	15.0161	7.02341	13.1752	x155:	0.451984	1.47829	28.5053	1.9622E-6	2.09499E-7	2.73491E-7	29.9997	3.96479E-6	13.5898	8.5248	18.9671	9.21117	25.1611	2.02833E-6	9.18038E-7	27.3623	7.08154	12.7928	5.32855	9.89645	4.60306	24.542	11.3258	6.36094E-7	26.8347	4.60853E-6	1.37117E-5	1.72762	3.99789	2.39744	14.6845	9.72574	8.68846E-7	19.426	5.9592	2.55908	4.63139	3.49522	3.66241	13.6911	0.309403	9.222E-7	17.534	9.15491	1.54101E-4	4.85981	0.613424	0.395452	12.0341	2.08916E-6	9.63103E-7	14.6919	11.8558	2.58605	8.85934	1.37644E-5	2.52612E-6	5.90194	4.00223E-7	4.18657E-6	1.59965	1.15038E-6	5.23643E-7	2.50179E-6	8.42295	7.6826	2.91777	12.4502	22.3849	x220:	15.9249	20.3633	4.23874	4.22461E-6	9.06508	10.9353	25.6866	2.63625E-5	1.46963E-6	5.36202E-7	4.26546E-6	5.18418	13.6338	8.67328	20.4502	4.03256	6.40019	3.78539E-7	5.28576E-7	7.61088E-6	3.45412	9.23851	9.43199E-6	14.8808	9.58478	5.14397	6.40664	2.30875E-5	1.49223E-6	9.75914	6.23768	0.702359	12.4359	15.7904	7.49127	8.85572	1.23541	1.07012E-6	15.0846	3.1299E-5	1.93683E-5	3.79381	16.4945	6.23724	11.8879	6.12717	9.01416E-7	30.0	13.7457	12.4718	10.9576	18.8466	5.42894E-6	20.187	10.9577	7.36703E-7	29.9992	6.99812	14.1475	7.11482	20.7825	10.7968	30.0	8.45	9.28953E-7	9.61074E-6	5.82464E-6	18.3926	1.3065E-6	3.39279E-7	x250:	17.4698	5.00338	5.39978	0.00424853	5.6593E-6	3.78197	14.7983	1.10786	6.06785E-6	9.92342	5.02073	12.8218	17.3345	4.34118E-7	3.45991	6.88029	4.82396E-6	21.8093	25.9169	17.1826	5.09731	17.0089	8.95048	1.00066E-6	2.60035E-5	16.0487	16.3016	21.766	15.6517	0.0405315	11.8391	9.96226	27.6197	8.11985E-7	30.0	30.0	22.104	30.0	12.8996	27.0191	27.9264	19.9148	6.12818E-7	19.295	22.5107	25.7449	27.976	12.3675	29.037	18.6803	16.4541	21.9507	14.3204	16.9848	25.8384	13.077	30.0	24.9507	5.39663	29.9983	24.127	26.6216	13.7839	10.8513	1.71447E-6	x280:	1.13967E-5	0.794444	1.09271E-6	1.70675E-5	5.98478	3.48642E-5	1.73595E-6	2.59239E-6	9.39825E-7	5.71785E-6	0.560555	9.56523E-7	2.70757	24.568	2.76632	30.0	30.0	30.0	18.6687	30.0	23.3046	1.57378E-6	30.0	1.69806E-5	19.8087	20.9258	21.1444	16.012	28.2469	11.681	0.341749	5.71962E-7	5.73253E-6	23.6083	27.7619	29.4678	29.4227	30.0	8.7607	3.51768E-6	4.72234E-7	1.78808E-5	23.084	30.0	24.9398	21.6203	16.2395	2.62298	9.65854	0.00161558	30.0	30.0	30.0	24.6711	21.5212	17.3314	2.11131	30.0	25.3695	30.0	30.0	16.2701	4.31831E-7	
144 Seconds 	rMIP for beam angle 4 ended, getting better solution
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	generateNeighbourhood_rMIP_fixed: Preparation ended, generating DDMs...
0 Seconds 	generateNeighbourhood_rMIP_fixed: DDMs Generated, starting fixed rMIP...
0 Seconds 	solverMIPLogFunction: Starting AMPL
0 Seconds 	solverMIPLogFunction: AMPL Files created
0 Seconds 	prepareampl: AMPL Files loading, Changing fixed angles
0 Seconds 	prepareampl: AMPL Files OK, rMIP fixed solving;
118 Seconds 	prepareampl: rMIP fixed solved
118 Seconds 	generateNeighbourhood_rMIP_fixed: fixed rMIP ended...
118 Seconds 	generateNeighbourhood_rMIP_fixed: starting FMO of fixed beam angle with best of beam vector...
0 Seconds 	generateNeighbourhood_rMIP_fixed: Solved FMO of fixed beam angle with best of beam vector...
118 Seconds 	rMIP for beam angle 5 ended, worst solution 
0	120	155	220	250	280	76.0	56.8421	40.8126	85.0	0.5932007637722687	0.0	0.0	0.0	x120:	30.0	30.0	22.1389	11.5389	9.20242	2.51162E-7	30.0	24.4555	17.8892	15.9671	20.0163	30.0	30.0	0.00730853	15.3171	27.0999	19.7513	15.7505	24.3584	19.5289	23.7176	16.6044	19.7197	30.0	11.6661	14.593	30.0	23.8933	30.0	15.4247	6.61911E-7	10.8976	7.36745	14.0951	0.595696	21.0355	1.07356	9.047	30.0	8.63868E-7	2.3645	3.96511E-6	5.74927	5.03648E-6	22.0567	2.80551	5.66702E-7	1.01528E-6	0.724867	6.24252E-6	8.94384	2.53253	24.8475	15.788	2.65532	1.74502E-5	24.8278	5.25375E-6	1.46702	15.3848	24.5389	15.0161	7.02341	13.1752	x155:	0.451984	1.47829	28.5053	1.9622E-6	2.09499E-7	2.73491E-7	29.9997	3.96479E-6	13.5898	8.5248	18.9671	9.21117	25.1611	2.02833E-6	9.18038E-7	27.3623	7.08154	12.7928	5.32855	9.89645	4.60306	24.542	11.3258	6.36094E-7	26.8347	4.60853E-6	1.37117E-5	1.72762	3.99789	2.39744	14.6845	9.72574	8.68846E-7	19.426	5.9592	2.55908	4.63139	3.49522	3.66241	13.6911	0.309403	9.222E-7	17.534	9.15491	1.54101E-4	4.85981	0.613424	0.395452	12.0341	2.08916E-6	9.63103E-7	14.6919	11.8558	2.58605	8.85934	1.37644E-5	2.52612E-6	5.90194	4.00223E-7	4.18657E-6	1.59965	1.15038E-6	5.23643E-7	2.50179E-6	8.42295	7.6826	2.91777	12.4502	22.3849	x220:	15.9249	20.3633	4.23874	4.22461E-6	9.06508	10.9353	25.6866	2.63625E-5	1.46963E-6	5.36202E-7	4.26546E-6	5.18418	13.6338	8.67328	20.4502	4.03256	6.40019	3.78539E-7	5.28576E-7	7.61088E-6	3.45412	9.23851	9.43199E-6	14.8808	9.58478	5.14397	6.40664	2.30875E-5	1.49223E-6	9.75914	6.23768	0.702359	12.4359	15.7904	7.49127	8.85572	1.23541	1.07012E-6	15.0846	3.1299E-5	1.93683E-5	3.79381	16.4945	6.23724	11.8879	6.12717	9.01416E-7	30.0	13.7457	12.4718	10.9576	18.8466	5.42894E-6	20.187	10.9577	7.36703E-7	29.9992	6.99812	14.1475	7.11482	20.7825	10.7968	30.0	8.45	9.28953E-7	9.61074E-6	5.82464E-6	18.3926	1.3065E-6	3.39279E-7	x250:	17.4698	5.00338	5.39978	0.00424853	5.6593E-6	3.78197	14.7983	1.10786	6.06785E-6	9.92342	5.02073	12.8218	17.3345	4.34118E-7	3.45991	6.88029	4.82396E-6	21.8093	25.9169	17.1826	5.09731	17.0089	8.95048	1.00066E-6	2.60035E-5	16.0487	16.3016	21.766	15.6517	0.0405315	11.8391	9.96226	27.6197	8.11985E-7	30.0	30.0	22.104	30.0	12.8996	27.0191	27.9264	19.9148	6.12818E-7	19.295	22.5107	25.7449	27.976	12.3675	29.037	18.6803	16.4541	21.9507	14.3204	16.9848	25.8384	13.077	30.0	24.9507	5.39663	29.9983	24.127	26.6216	13.7839	10.8513	1.71447E-6	x280:	1.13967E-5	0.794444	1.09271E-6	1.70675E-5	5.98478	3.48642E-5	1.73595E-6	2.59239E-6	9.39825E-7	5.71785E-6	0.560555	9.56523E-7	2.70757	24.568	2.76632	30.0	30.0	30.0	18.6687	30.0	23.3046	1.57378E-6	30.0	1.69806E-5	19.8087	20.9258	21.1444	16.012	28.2469	11.681	0.341749	5.71962E-7	5.73253E-6	23.6083	27.7619	29.4678	29.4227	30.0	8.7607	3.51768E-6	4.72234E-7	1.78808E-5	23.084	30.0	24.9398	21.6203	16.2395	2.62298	9.65854	0.00161558	30.0	30.0	30.0	24.6711	21.5212	17.3314	2.11131	30.0	25.3695	30.0	30.0	16.2701	4.31831E-7	
0 Seconds 	rMIP ended with better solution
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	generateNeighbourhood_rMIP_fixed: Preparation ended, generating DDMs...
0 Seconds 	generateNeighbourhood_rMIP_fixed: DDMs Generated, starting fixed rMIP...
0 Seconds 	solverMIPLogFunction: Starting AMPL
0 Seconds 	solverMIPLogFunction: AMPL Files created
0 Seconds 	prepareampl: AMPL Files loading, Changing fixed angles
0 Seconds 	prepareampl: AMPL Files OK, rMIP fixed solving;
100 Seconds 	prepareampl: rMIP fixed solved
100 Seconds 	generateNeighbourhood_rMIP_fixed: fixed rMIP ended...
100 Seconds 	generateNeighbourhood_rMIP_fixed: starting FMO of fixed beam angle with best of beam vector...
0 Seconds 	generateNeighbourhood_rMIP_fixed: Solved FMO of fixed beam angle with best of beam vector...
100 Seconds 	rMIP for beam angle 1 ended, worst solution 
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	rMIP for beam angle 2 ended, worst solution 
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	generateNeighbourhood_rMIP_fixed: Preparation ended, generating DDMs...
0 Seconds 	generateNeighbourhood_rMIP_fixed: DDMs Generated, starting fixed rMIP...
0 Seconds 	solverMIPLogFunction: Starting AMPL
0 Seconds 	solverMIPLogFunction: AMPL Files created
0 Seconds 	prepareampl: AMPL Files loading, Changing fixed angles
0 Seconds 	prepareampl: AMPL Files OK, rMIP fixed solving;
111 Seconds 	prepareampl: rMIP fixed solved
111 Seconds 	generateNeighbourhood_rMIP_fixed: fixed rMIP ended...
111 Seconds 	generateNeighbourhood_rMIP_fixed: starting FMO of fixed beam angle with best of beam vector...
0 Seconds 	generateNeighbourhood_rMIP_fixed: Solved FMO of fixed beam angle with best of beam vector...
111 Seconds 	rMIP for beam angle 3 ended, worst solution 
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	generateNeighbourhood_rMIP_fixed: Preparation ended, generating DDMs...
0 Seconds 	generateNeighbourhood_rMIP_fixed: DDMs Generated, starting fixed rMIP...
0 Seconds 	solverMIPLogFunction: Starting AMPL
0 Seconds 	solverMIPLogFunction: AMPL Files created
0 Seconds 	prepareampl: AMPL Files loading, Changing fixed angles
0 Seconds 	prepareampl: AMPL Files OK, rMIP fixed solving;
115 Seconds 	prepareampl: rMIP fixed solved
115 Seconds 	generateNeighbourhood_rMIP_fixed: fixed rMIP ended...
115 Seconds 	generateNeighbourhood_rMIP_fixed: starting FMO of fixed beam angle with best of beam vector...
0 Seconds 	generateNeighbourhood_rMIP_fixed: Solved FMO of fixed beam angle with best of beam vector...
115 Seconds 	rMIP for beam angle 4 ended, worst solution 
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	rMIP for beam angle 5 ended, worst solution 
